date,open,high,low,close,coin
2024-10-16,2629.41,2677.39,2543.48,2602.08,ethereum
2024-10-20,2607.62,2671.32,2580.1,2649.98,ethereum
2024-10-24,2648.36,2762.43,2466.25,2524.1,ethereum
2024-10-28,2521.73,2559.3,2398.74,2505.5,ethereum
2024-11-01,2505.89,2719.88,2471.44,2514.75,ethereum
2024-11-05,2514.1,2583.76,2367.8,2395.95,ethereum
2024-11-09,2396.77,2975.76,2379.25,2960.96,ethereum
2024-11-13,2961.69,3424.15,2959.92,3260.93,ethereum
2024-11-17,3248.62,3339.06,3016.77,3133.88,ethereum
2024-11-21,3133.19,3213.1,3034.84,3075.19,ethereum
2024-11-25,3074.47,3489.86,3039.26,3368.7,ethereum
2024-11-29,3368.63,3682.28,3262.47,3579.24,ethereum
2024-12-03,3578.87,3749.64,3543.59,3643.86,ethereum
2024-12-07,3645.09,4089.23,3540.71,4013.73,ethereum
2024-12-11,4007.73,4027.39,3524.91,3626.59,ethereum
2024-12-15,3628.0,3985.4,3570.34,3867.0,ethereum
2024-12-19,3868.32,4081.83,3625.59,3628.26,ethereum
2024-12-23,3622.13,3718.53,3112.95,3275.89,ethereum
2024-12-27,3277.06,3538.01,3224.07,3327.79,ethereum
2024-12-31,3331.43,3429.7,3299.88,3359.51,ethereum
2025-01-04,3358.67,3621.98,3313.15,3604.29,ethereum
2025-01-08,3606.12,3737.69,3373.12,3380.02,ethereum
2025-01-12,3378.84,3411.51,3160.58,3283.59,ethereum
2025-01-16,3283.01,3470.77,2979.39,3447.03,ethereum
2025-01-20,3454.32,3517.47,3133.98,3208.14,ethereum
2025-01-24,3202.87,3437.36,3151.39,3332.58,ethereum
2025-01-28,3340.58,3430.39,3036.49,3173.53,ethereum
2025-02-01,3179.89,3428.39,3050.64,3296.39,ethereum
2025-02-05,3298.53,3327.42,2368.28,2740.38,ethereum
2025-02-09,2734.76,2854.63,2572.32,2635.6,ethereum
2025-02-13,2632.81,2782.27,2541.3,2736.27,ethereum
2025-02-17,2737.2,2785.5,2619.67,2659.9,ethereum
2025-02-21,2661.15,2832.06,2612.31,2741.59,ethereum
2025-02-25,2739.73,2838.89,2503.1,2503.1,ethereum
2025-03-01,2514.86,2523.96,2082.99,2235.2,ethereum
2025-03-05,2234.71,2542.79,2022.69,2171.5,ethereum
2025-03-09,2165.17,2317.43,2104.64,2200.0,ethereum
2025-03-13,2201.42,2207.54,1791.23,1910.66,ethereum
2025-03-17,1906.88,1951.3,1825.63,1887.76,ethereum
2025-03-21,1887.3,2067.11,1874.09,1980.83,ethereum
2025-03-25,1985.52,2102.94,1938.9,2077.74,ethereum
2025-03-29,2078.6,2094.97,1866.54,1896.92,ethereum
2025-04-02,1896.32,1923.93,1782.69,1907.17,ethereum
2025-04-06,1905.22,1934.1,1756.99,1809.94,ethereum
2025-04-10,1806.91,1813.53,1398.62,1662.53,ethereum
2025-04-14,1667.07,1667.07,1487.25,1595.42,ethereum
2025-04-18,1596.41,1684.05,1551.41,1583.48,ethereum
2025-04-22,1583.45,1651.18,1570.08,1577.45,ethereum
2025-04-26,1578.78,1819.79,1558.65,1788.8,ethereum
2025-04-30,1787.36,1848.73,1754.97,1796.97,ethereum
2025-05-04,1798.93,1867.18,1750.28,1834.5,ethereum
2025-05-08,1834.07,1847.56,1757.78,1810.32,ethereum
2025-05-12,1811.71,2587.26,1810.91,2507.47,ethereum
2025-05-16,2509.65,2708.81,2425.76,2542.3,ethereum
2025-05-20,2545.16,2631.38,2367.75,2526.99,ethereum
2025-05-24,2527.81,2720.92,2460.59,2519.81,ethereum
2025-05-28,2520.23,2700.22,2479.53,2662.09,ethereum
2025-06-01,2662.17,2771.24,2494.41,2532.36,ethereum
2025-06-05,2531.53,2667.17,2482.52,2610.34,ethereum
2025-06-09,2609.95,2634.74,2408.52,2508.78,ethereum
2025-06-13,2509.01,2870.51,2482.7,2653.16,ethereum
2025-06-17,2650.1,2672.77,2468.26,2561.33,ethereum
2025-06-21,2548.1,2613.23,2389.71,2405.7,ethereum
2025-06-25,2406.19,2473.84,2134.88,2446.54,ethereum
2025-06-29,2447.33,2510.28,2391.69,2437.13,ethereum
2025-07-03,2436.76,2606.08,2393.31,2574.07,ethereum
